agent_code,month,quarter,year,cluster,agent_age,new_policy_count,agent_seniority,time_to_first_sale_months,ANBP_value_boxcox_added,net_income_boxcox_added,number_of_policy_holders_boxcox_added,number_of_cash_payment_policies_boxcox_added,pca_proposal_1,pca_proposal_2,pca_quotations_1,pca_quotations_2,pca_customers_1,pca_customers_2
35,0,0,0,1,21,11,19,15,390.9119206278554,198.639962774741,13.764256461690957,14.87883590832771,0.19783855435590014,0.6953223867974203,0.4875723274807728,0.6668082243069742,0.7323019446999464,0.5863214734399823
293,0,0,0,1,24,26,32,28,382.9722922813847,207.92742658359262,11.127889673618013,19.23571356432909,0.669577618780836,0.17338097435369915,0.6094782067517244,0.460056329734128,0.47842579912316513,0.5118400656534103
810,0,0,0,3,39,0,43,58,0.0,208.43512099145522,8.831988161101583,26.991392818770997,0.5402570189765852,0.22034577532706795,0.4997149277345215,0.5203660658637885,0.4886817271269076,0.43175929000863816
380,0,0,0,1,31,13,28,24,358.538169967651,236.04044626961442,6.9583182330887245,0.0,0.15503597030849586,0.45975589034960185,0.21333575736533733,0.44847195671334567,0.3058391833533639,0.5786874136481923
3,0,0,0,2,31,25,43,58,520.3977147091726,358.19719107352216,0.0,16.001712609522674,0.6457610360661883,0.8004627488373769,0.5048984232768118,0.6173976747943077,0.5293451456394802,0.40807915870181755
504,0,0,0,2,37,28,41,56,553.5888581954172,373.5730397736881,10.113890941552924,20.04808852338367,0.8200363061873372,0.23874764950034544,0.7495723916017821,0.4946943066690035,0.5863936262262176,0.7813206710665809
734,0,0,0,2,49,18,30,30,440.2214671011995,272.20111457793456,6.080340756874181,19.64553587112146,0.4703746251555201,0.43359961354067805,0.3692848953042996,0.5637694946649082,0.221143446617858,0.4011559102834307
842,0,0,0,0,40,24,36,37,127.69541069173894,70.65793097651411,10.703812220090633,8.20412815558002,0.7052496254758085,0.10397863092295112,0.5829251191316706,0.2300966013500247,0.6540583283190947,0.7778384365143041
785,0,0,0,1,49,10,33,43,371.44651475964315,217.84756260157752,7.36487319355889,0.0,0.17621291510649761,0.5408585744827569,0.5711808910806329,0.7029958376931243,0.7494075937789055,0.3899571745670303
399,0,0,0,2,30,26,17,5,427.4031691098768,308.0036549708048,9.80721450680678,12.973993869523692,0.6608213640018132,0.6296324734944018,0.27831885479027013,0.4445985707525488,0.2378514949762548,0.690123601077742
348,0,0,0,3,24,0,45,35,0.0,293.33603186620707,0.0,14.488364158036452,0.5816717653180588,0.3878477199610858,0.6327173137393334,0.7893714165582726,0.6748931706108117,0.509722932347487
593,0,0,0,2,52,23,11,20,514.5236193169967,349.8986158176442,8.831988161101583,7.993897935583119,0.6679634675849284,0.10305695020516115,0.6054350002713483,0.576855557825503,0.5194122039199698,0.38020598146931694
584,0,0,0,1,51,32,26,20,373.19490364003764,212.5913009237297,6.309033268607171,31.566251888290637,0.8591978534312998,0.34986621822658404,0.8655267610894022,0.7361406228776602,0.607588762020332,0.21656219562749585
775,0,0,0,0,38,14,45,34,220.76667001613166,148.76451260276508,5.601137786683279,9.006632266226475,0.1997139437089827,0.8055192748058689,0.37620521162264786,0.8480816773518918,0.46853016462181996,0.29527787002591455
799,0,0,0,3,34,0,40,46,0.0,314.40158680866546,5.601137786683279,28.34451916467305,0.6227475591108551,0.577934384708913,0.4662027354030092,0.5338801048533901,0.42750645260684994,0.6156009726050031
48,0,0,0,2,28,27,4,18,556.9166484056257,408.3382354032235,8.831988161101583,22.238969917705795,0.4751034043119661,0.6174680212030076,0.4051037631414784,0.5453135508850927,0.4921252412735985,0.2792730191970506
126,0,0,0,2,26,22,16,13,477.2547114520029,329.37388008810456,0.0,14.87883590832771,0.34469506215471096,0.6050123422356266,0.40249262117377826,0.7606907214501772,0.63767326624493,0.38091679284272006
645,0,0,0,2,37,17,15,6,452.6806800822338,258.23264014280966,0.0,15.134429786253323,0.35941643754165864,0.4567667870064609,0.2522968335067147,0.5502023138824558,0.42410024567832416,0.5793982250215954
579,0,0,0,1,57,16,42,48,400.6702138141557,275.0606860994999,15.698441675161087,20.04808852338367,0.35975539009033597,0.43418206689265154,0.6539539218819609,0.614055245340135,0.6984882472625904,0.4937180815186231
473,0,0,0,0,27,24,16,25,271.62235870574796,191.10101051552124,12.065022699455492,8.20412815558002,0.5606074595787576,0.28190084337938404,0.39109164797788415,0.49536874195771774,0.393692755169494,0.5229975806836439
571,0,0,0,1,48,22,39,34,425.3614255889824,268.8217502773127,6.309033268607171,21.96404773772517,0.45347776506256354,0.4630042088883442,0.5665675400692998,0.7128796472735522,0.5802644921557953,0.30431825175022476
794,0,0,0,1,51,22,14,25,406.81545703157843,264.52124808627633,0.0,25.735954658349513,0.5770556252203132,0.17913511985020952,0.3382511508067001,0.352799969475329,0.3735411926644063,0.38651616070092026
313,0,0,0,0,33,8,44,44,290.53792450132977,194.86909759909986,9.330707333718514,8.20412815558002,0.060038396689038154,0.33802500409156194,0.24493935659254534,0.46721900335624666,0.3089597112158229,0.5341550957138775
667,0,0,0,2,30,27,3,15,530.7430379212096,381.4626534015324,13.991437412907983,30.68647408422459,0.6874136221283222,0.13867980263832508,0.7175049547942178,0.5116039169056286,0.5768582852272697,0.26811550416681706
552,0,0,0,1,58,18,34,23,366.14325255215164,227.10557661016495,8.485548822780414,19.64553587112146,0.24436851867295473,0.2821249045691556,0.3541327808801398,0.5991317457732644,0.4480183086143349,0.45543942131545884
684,0,0,0,1,56,24,17,10,414.9680022067233,247.9168986576467,5.844601982695124,12.385736680997772,0.7098657655735541,0.31269123103382734,0.578975818391972,0.8837881731161843,0.4989376551306501,0.351678514363866
139,0,0,0,0,29,9,25,18,208.18558551829295,144.850022459132,11.537934335225314,16.71454251252499,0.17261073549880707,0.38518185477431693,0.41566891373749165,0.3863694275807873,0.4780655056207678,0.8084830369256784
531,0,0,0,0,52,19,12,23,297.9510395963732,146.26646325279953,10.703812220090633,22.056021294097043,0.36223097014927097,0.5616670986472019,0.4162390582684488,0.49328484609173445,0.6779763912551054,0.6538796328081674
279,0,0,0,0,46,21,33,37,248.6705942167904,164.75714168767516,5.349152907801327,21.404976577512144,0.287658654367511,0.5598237372116223,0.23527520417270936,0.38917759762025145,0.3492628362259983,0.8071179356793248
532,0,0,0,3,55,0,2,5,0.0,312.3264740184158,11.127889673618013,33.64361014235562,0.8109799560553884,0.6863550767679973,0.8558626086695662,0.6580992171416651,0.5296681319237122,0.30012520582454477
459,0,0,0,3,22,0,44,48,0.0,345.97594131663016,0.0,28.782952173554715,0.6167435813071789,0.3011572327842361,0.19484298532419753,0.4175173509804948,0.1466290234497642,0.5209216680638874
515,0,0,0,0,51,16,43,40,235.31699120734294,160.17333230828933,16.489632095705797,6.383018395130127,0.23974085234452575,0.9049566676260863,0.573354872452512,0.6889475392888142,0.7798150842877357,0.44635781890498183
443,0,0,0,0,54,21,41,56,127.22780911420523,86.72176286909895,8.831988161101583,17.06141214825932,0.40413326813789663,0.7713013794758679,0.502021603240188,0.5154241610735746,0.45791394311568007,0.6720016169429546
889,0,0,0,3,59,0,29,18,0.0,344.19186616988287,12.571974268506512,16.001712609522674,0.6747550923886828,0.43061051019753704,0.6369059053647689,0.5864962108543077,0.48904202062930485,0.1351163187363702
566,0,0,0,2,60,37,15,13,552.3693792636303,313.1371869541634,10.703812220090633,23.397480689590576,0.9010612942241742,0.5907292910421102,0.9295413417806667,0.29889474050600234,0.4377623806105924,0.535520196960231
461,0,0,0,2,35,19,23,21,468.41087302604944,314.78470218434364,11.127889673618013,16.12237460370646,0.489637323404688,0.4357342016522444,0.21621257740196104,0.5504454704340789,0.4852382129802166,0.5842455608202257
487,0,0,0,1,57,20,9,21,371.54323049170927,190.6199372893701,2.8532271699619582,20.832871537234162,0.42215672777960855,0.7700884720820914,0.44166454783786047,0.41423136622725737,0.15039552388068722,0.26048144437502707
202,0,0,0,1,21,20,19,11,398.75338647886684,240.8252729046279,5.087706203876451,18.818205584782223,0.3489722497037792,0.8363096624603122,0.43213308955181196,0.3452963541053584,0.09606997043584631,0.32803960374321217
744,0,0,0,1,54,22,22,35,431.39934457746403,234.6796591041883,0.0,7.7793514822650875,0.6709654564867665,0.24144552616749965,0.7686353081738792,0.6325643309128014,0.6103116891622283,0.6573618673604442
605,0,0,0,1,48,12,38,48,313.0422131760078,224.0991757463396,6.9583182330887245,8.20412815558002,0.21019698874261328,0.3947476073651575,0.2969443209651974,0.4846595700994959,0.27170249963177595,0.5940379746041058
551,0,0,0,1,25,21,11,19,420.87696314268527,273.79665549076117,0.0,14.488364158036452,0.37586460318321435,0.3540010634772864,0.3720290212071359,0.6566366147715452,0.376947399592932,0.42271890828432795
822,0,0,0,2,21,28,44,59,558.3000812153455,371.30604340105236,4.531675531806239,17.06141214825932,0.8255138751481104,0.5046212572172342,0.7918868163714117,0.5675591494526345,0.3366069673645914,0.33844508671387585
520,0,0,0,2,35,33,15,12,517.9696930947675,331.9966720510109,11.935229548988502,9.93722211706792,0.8665896689409066,0.6947079219650614,0.8515534343189181,0.15840986388959682,0.5324283662837739,0.552235859162498
136,0,0,0,1,39,30,42,39,427.3067470831667,281.189571821299,12.065022699455492,9.387589854392202,0.7306649006271273,0.44760742726765185,0.47674149881583594,0.5084016633254617,0.43812267411298966,0.23887722568796305
226,0,0,0,2,27,36,30,21,494.68551787951793,279.00291066546004,0.0,28.782952173554715,0.8857397281313744,0.7216867025251744,0.5220918249390631,0.5588807316675451,0.5190892176357378,0.4881599343465897
614,0,0,0,2,23,24,8,1,432.3620759226038,293.46185324690833,8.485548822780414,23.046459277044416,0.4567409921215768,0.6412656487105934,0.5843310862625084,0.7612781226577368,0.5095165694186246,0.1636437858418211
899,0,0,0,3,30,0,26,29,0.0,171.10495194711194,3.9206053401876835,19.338872756434967,0.27263718362763706,0.6994252205677373,0.1074566035115363,0.5163417529139119,0.021555547267752495,0.44780536152366884
612,0,0,0,1,20,21,38,47,449.5984244367267,254.95721982611497,12.065022699455492,7.560206476916666,0.3559268969926686,0.27624587484947427,0.31253388578652697,0.5471063438879906,0.4176108181055047,0.39903877697750734
142,0,0,0,2,35,31,38,33,540.1839215439577,325.7671702179538,0.0,28.855446952253388,0.6070870404693777,0.7314765163057866,0.3738985361169814,0.8530235821421057,0.44493508797004117,0.31128272085477837
628,0,0,0,1,38,26,45,48,397.997469528855,224.30985520052295,5.601137786683279,21.779083417727602,0.7430233350138404,0.14703264783538905,0.7331209067987339,0.4405850089177462,0.4309126595353757,0.6518037201884108
318,0,0,0,2,21,22,8,7,492.3654124437825,333.0762256968805,13.060895866312443,25.735954658349513,0.44874898590611745,0.27913580122601467,0.5477703015661263,0.892360307315572,0.519449511138135,0.1915169630743217
100,0,0,0,2,24,18,27,17,448.82510311391997,271.39473016249997,6.9583182330887245,13.259997165407924,0.4347764003234969,0.5093865565097395,0.4067075999824003,0.42434983396983544,0.27170249963177595,0.5940379746041058
352,0,0,0,2,44,24,24,33,479.25371538116286,304.8738188607202,0.0,12.385736680997772,0.4359029998722524,0.5375782444636291,0.49780662443156587,0.8517650485539164,0.397459255600417,0.2625573569947836
651,0,0,0,0,51,16,9,23,229.75184829037858,133.2999179900388,0.0,23.046459277044416,0.27181067943180776,0.6798776044868983,0.2666134151323425,0.38971185703496,0.4343561736820667,0.49931744937682326
262,0,0,0,1,29,17,3,18,404.98997524466216,262.76715234235735,10.988159201726715,22.329952266666147,0.48303315489515947,0.1416689059814661,0.5967654619670186,0.4995830696663665,0.7186398097676782,0.6301995015013467
609,0,0,0,1,44,36,11,26,437.8345161057339,253.24582304891817,9.491866900614143,28.782952173554715,0.7912297061590685,0.6420881524617827,0.5260023372856517,0.432975109962074,0.5221724382800315,0.6323166348072702
428,0,0,0,2,46,19,1,9,443.9879049716789,294.5736364994038,13.991437412907983,0.0,0.5268108422368676,0.46150007481858085,0.3922583242229851,0.5757338972032351,0.5700085641520529,0.3843990273949969
644,0,0,0,1,57,19,45,47,317.56957693080676,193.94227364381953,9.80721450680678,10.803140994899303,0.29475037452419156,0.8960213690770489,0.3802874962974826,0.5026343962574538,0.37009767851771536,0.5390024315125078
8,0,0,0,0,31,36,30,23,186.68368911190748,98.61843118449475,17.246451756624033,19.64553587112146,0.9399616033109619,0.661974995908438,0.694690896993855,0.6744181232626464,0.8576984071661902,0.5514838271029281
873,0,0,0,2,42,17,39,38,458.41217631820103,306.16477350448014,3.9206053401876835,15.134429786253323,0.26959633753004786,0.5922654365922589,0.18588167156910612,0.4554977573695429,0.21429372554264137,0.5174394335116105
295,0,0,0,2,60,27,37,27,510.06632274418166,266.2049339413282,10.703812220090633,30.68647408422459,0.622708701915104,0.6091631766957731,0.7255916575563185,0.577143357780504,0.6916385261873736,0.6100016047468029
37,0,0,0,1,54,26,12,17,367.8516815237472,199.7222442511914,13.533551892187603,16.361428075210476,0.6756553784474615,0.45654272581668937,0.5028962142331788,0.411904313809651,0.5224954245642636,0.5243626819299974
456,0,0,0,3,29,0,37,44,0.0,170.08667866555155,8.307706394252648,11.77355954143758,0.5150914557517581,0.7481342060100851,0.2874128626791489,0.4157245579775969,0.2310390811192033,0.6177181059109265
467,0,0,0,0,26,14,37,52,199.80510446033665,112.29715643988764,13.991437412907983,15.386436219118856,0.3227693275523822,0.4419044580479125,0.3707560380114341,0.43369938413555476,0.5323910590656087,0.7409248775574933
500,0,0,0,0,35,27,27,17,295.1939504572485,163.60216788043533,0.0,13.259997165407924,0.6257106908169421,0.7475517526581115,0.5386762936772475,0.921234320090524,0.675253464113209,0.21307996107521898
803,0,0,0,2,20,19,12,23,449.68158074036285,328.06236241548976,7.36487319355889,20.24675867583066,0.3391786359981867,0.370367526505598,0.2757077128225699,0.6599757413176335,0.3670144578734216,0.39484573105182735
522,0,0,0,2,43,22,21,20,481.5373460377794,263.9050341112157,13.060895866312443,0.0,0.327907943964478,0.7303627858786106,0.4427921458885027,0.7232445744758378,0.5091935831343926,0.2715977387190939
501,0,0,0,0,55,8,32,20,228.2380999251191,111.19083068529466,5.087706203876451,11.134221585081049,0.05673631243427385,0.19099235625617278,0.04043221884851189,0.5433698308931151,0.15688495145350667,0.44084089241911517
60,0,0,0,2,28,27,25,33,474.6663250083206,299.95248101579614,8.126558498997658,0.0,0.749366265366194,0.40122507964625653,0.6978721834925123,0.5659563712085088,0.43808536689482447,0.42756624408295824
163,0,0,0,1,40,22,33,28,309.07147523188786,194.4808827695784,13.991437412907983,0.0,0.7232730851175205,0.10276572352917446,0.573354872452512,0.6889475392888142,0.5700085641520529,0.3843990273949969
615,0,0,0,0,43,11,26,35,273.49551320661726,189.19780615273348,11.127889673618013,16.24227493173102,0.2073824561350009,0.2898472957244166,0.320354910479704,0.2952951004770482,0.41007781724365866,0.9199192243552279
851,0,0,0,3,41,0,20,22,0.0,101.09124726862143,11.537934335225314,20.832871537234162,0.7046494347699561,0.08669048717684957,0.38834781187639655,0.7016395189087061,0.5498570016469653,0.2479176074122732
728,0,0,0,2,34,28,28,27,546.4000583784049,345.14757407848464,12.571974268506512,27.297233447534467,0.5868492389259057,0.6450772558049236,0.6480412004917394,0.5344675060609495,0.42750645260684994,0.6156009726050031
528,0,0,0,1,59,22,45,47,367.88948646914696,222.22243401823863,0.0,14.87883590832771,0.4882106285030063,0.398898441825304,0.5453309319266723,0.8881958184916898,0.6345900456006364,0.23676009238203966
95,0,0,0,2,60,22,34,40,471.89858228771607,335.449853368185,0.0,11.77355954143758,0.4396926357741686,0.7267432284936666,0.5341017310590244,0.4033321796102633,0.26553605834318855,0.30572457368274497
340,0,0,0,1,53,33,11,9,369.56656081735554,189.70856243364878,0.0,21.96404773772517,0.8498414079464249,0.7888295736211851,0.7551933375412421,0.6895349404963736,0.691998819689771,0.31335863347453496
179,0,0,0,2,43,32,13,20,470.3260976680044,267.0270024991219,13.060895866312443,18.392554501652896,0.7340058420776427,0.5634112831161808,0.8610461042118566,0.7551308260721843,0.7125106756972559,0.15319708218499062
205,0,0,0,2,41,25,41,43,494.9716607465346,281.4658008448834,12.065022699455492,23.571268077871355,0.6364938312034989,0.34542415709045077,0.4493138002027913,0.381961782205282,0.373180899162009,0.6831591319731882
527,0,0,0,1,21,25,23,19,420.3347126546384,283.20447930656803,10.412561874574001,18.818205584782223,0.6764818826432908,0.4760903418975283,0.7738575921092794,0.2018099897826322,0.6373129727425327,0.6775597641149881
287,0,0,0,2,52,19,14,22,429.0851513162601,312.1185168849002,0.0,10.803140994899303,0.36542041534533487,0.7335439389311378,0.4097174039541601,0.8345676383622902,0.5734147710805787,0.4206017749784046
903,0,0,0,1,54,18,41,51,319.1515215301445,206.06831949159724,14.435832354453616,24.591234221320324,0.3451437566061118,0.6783734704171349,0.49793931856535334,0.8608714421680126,0.6038595688075741,0.28831340092136093
448,0,0,0,1,31,16,45,37,461.94945547782675,230.8554397084871,6.747544753456044,18.392554501652896,0.3057947530679235,0.533766637369299,0.4823888319384825,0.5697766153764549,0.6137178960907541,0.6935646149438519
450,0,0,0,3,33,0,12,26,0.0,283.92729898117034,0.0,10.115133762455578,0.8441375254956749,0.5206964935695592,0.9383308832075119,0.4804559935059211,0.7494075937789055,0.3899571745670303
328,0,0,0,1,41,21,4,6,413.38861050534473,271.0560492382965,6.9583182330887245,19.338872756434967,0.44934917661196994,0.2964239449721162,0.6261953696236962,0.831516311771203,0.6851864058327194,0.24095313830771953
893,0,0,0,3,47,0,23,29,0.0,136.91002659797206,10.703812220090633,28.34451916467305,0.660521268648887,0.620988401621351,0.20898779462157913,0.4765685535219659,0.42410024567832416,0.5793982250215954
168,0,0,0,3,35,0,35,23,0.0,268.4060117968738,4.234030535640389,8.612633670799344,0.6046852422733919,0.6103760840895496,0.3026979610384448,0.6886065975409623,0.28572492806644145,0.25351697527047334
353,0,0,0,1,56,20,21,23,397.0197779826646,284.4335336828955,12.320874862812193,26.054833076794107,0.2558500654374041,0.8247756642107211,0.6305433323674543,0.8034197149625828,0.5867539197286149,0.48467769979431286
32,0,0,0,0,36,22,42,32,175.55441333002184,123.03437809806893,16.09862136217898,23.915508318276775,0.6219210549150258,0.5583867686280741,0.6279709787928642,0.4910109354669788,0.7288957377714207,0.5501187258565746
639,0,0,0,1,58,11,6,18,395.6706076322957,212.90502554612684,13.533551892187603,9.93722211706792,0.10081409512890827,0.5194675969663384,0.2332342067359664,0.7114701866962831,0.5396010736432226,0.3279983830570454
302,0,0,0,0,39,19,41,36,162.69252383166645,108.76309584424078,11.537934335225314,23.743936725268746,0.42959892671565,0.25215702066590157,0.5395772918534248,0.6842487910502234,0.5190519104175725,0.6768489527415849
341,0,0,0,0,48,32,23,17,254.37000678229253,141.4980597652237,13.060895866312443,21.592737030411264,0.7520293017193547,0.5621983757224043,0.8701401121007353,0.7262568132972325,0.519449511138135,0.1915169630743217
288,0,0,0,2,45,32,24,39,516.6505923049721,333.23249576598573,8.126558498997658,0.0,0.7986719050951098,0.12415670104559307,0.8353549365735213,0.5168336216508436,0.8437132859496899,0.7033158080415653
627,0,0,0,1,24,14,45,41,337.26826018460054,229.70517908826287,0.0,5.865252973445678,0.10081409512890827,0.5194675969663384,0.34761083676450244,0.6412766409861949,0.45146182276102587,0.3029531505038713
346,0,0,0,1,60,25,33,27,417.12792944973535,290.7681036046452,8.126558498997658,27.600060918165877,0.454565507415568,0.522424688829094,0.5054685678077688,0.7243130933052548,0.43812267411298966,0.23887722568796305
189,0,0,0,1,30,20,45,60,386.49179731451545,224.0288750438196,5.087706203876451,18.818205584782223,0.3246058597097137,0.5833301380432214,0.3138332561654153,0.636577892747604,0.3632479574424986,0.6552859547406876
892,0,0,0,0,39,35,25,18,275.8855952802192,162.3945967796834,8.485548822780414,10.290583726395788,0.8413618500838136,0.3845673899419581,0.8342273385228791,0.20782041340226326,0.40699459659936493,0.7757625238945476
191,0,0,0,0,48,20,13,11,218.53370132453958,119.74881203042459,5.601137786683279,14.08886116352168,0.23801406208991777,0.8594768359260951,0.35891790421971903,0.3697062768038697,0.4377623806105924,0.535520196960231
865,0,0,0,1,56,26,24,12,429.5794497280977,234.42904210317585,0.0,26.212983606448997,0.5614339637745869,0.3014484594602229,0.7044877435474786,0.7615659226127378,0.8068163678680402,0.4665557156595257
656,0,0,0,2,48,18,31,29,430.83448569148715,290.251254014464,13.533551892187603,23.046459277044416,0.4052210104909011,0.8307218594166177,0.3570096009167635,0.7011052594939976,0.553263208575491,0.2841203549956809
653,0,0,0,1,21,24,14,16,346.56802906725767,178.7613893086543,8.126558498997658,15.635004545947014,0.5981199309596145,0.28508199643191123,0.11872459277229425,0.4734194417346499,0.39709896209801976,0.5592003282670517
478,0,0,0,2,45,32,34,35,543.731657614573,272.37821266218504,0.0,18.392554501652896,0.8235996285992767,0.42565316119564556,0.41263301238389394,0.4087552020223349,0.27887520699122476,0.36980049849865326
79,0,0,0,1,50,16,23,20,395.3363614677433,231.1210867037887,12.320874862812193,16.597548481595215,0.20719499984077516,0.2563590314028191,0.4186787177092515,0.7965872319732421,0.6243341175968938,0.3168408680268118
595,0,0,0,0,37,23,24,19,221.9499406048005,152.3643321381017,0.0,12.082824552506834,0.6592072128059059,0.5593084493458639,0.6307151046957005,0.5838780555736158,0.5426469870693512,0.660844101912721
315,0,0,0,1,43,17,23,22,390.96547375945795,274.4377252649501,0.0,10.115133762455578,0.3731627096343024,0.2242565593879987,0.1903623284466518,0.43650755417501885,0.1906986488908627,0.5334442843404744
278,0,0,0,3,43,0,3,7,0.0,240.78856818924547,11.127889673618013,28.34451916467305,0.7830113864536323,0.27769883264246664,0.44092263097865714,0.5268576071052772,0.4511015292586286,0.5995961217761393
604,0,0,0,0,30,14,24,38,221.98977816357225,143.9125626637464,10.264188813456036,15.386436219118856,0.35671454399274677,0.3270222829171733,0.40479929667944475,0.7557488166599634,0.41420461117697893,0.36283602939409965
17,0,0,0,3,35,0,39,52,0.0,87.44515568132364,0.0,16.361428075210476,0.6753552830945352,0.4478986539436386,0.42085240927978196,0.4834010365113066,0.4613574572623711,0.5195153461313671
398,0,0,0,1,45,15,29,24,305.79919296287375,200.13540177589934,8.307706394252648,14.08886116352168,0.17591281975357137,0.5322145026097062,0.26400227316464236,0.6050890276000446,0.25836335098373975,0.5299620497881976
510,0,0,0,1,46,31,12,17,410.47522997153385,287.8418452164033,11.537934335225314,14.356231377818075,0.590638874827822,0.834242239834961,0.7477028766919367,0.29830733929844294,0.5054270827034696,0.5320379624079542
160,0,0,0,0,48,5,44,52,171.33342953918927,83.25888617345582,12.320874862812193,2.93629073014721,0.07806185633075013,0.33681209669778533,0.44208930722375805,0.6072227623507944,0.5799041986533982,0.6009612230224927
611,0,0,0,2,44,34,34,41,589.8475367586477,367.15755050730263,0.0,15.134429786253323,0.7915298015119947,0.6507322243348335,0.5118575279882701,0.37392390742060283,0.5153227172048148,0.74860015803545
406,0,0,0,0,35,8,25,17,232.03521988305545,129.03520909877395,8.831988161101583,8.20412815558002,0.11647461377038576,0.3659254653694648,0.2522968335067147,0.5502023138824558,0.4511015292586286,0.5995961217761393
735,0,0,0,1,32,15,17,22,412.26184070009873,296.71184948530026,7.561313754855983,6.128083125098293,0.2553625137902521,0.782643328016073,0.6348912951112126,0.7753231181539625,0.7968834261485298,0.43868253842702504
629,0,0,0,0,22,18,32,43,127.96907286170666,61.047302281006715,4.815670280845765,10.463673069954813,0.28934658742636776,0.6365323608984735,0.40479929667944475,0.7557488166599634,0.35679583708784435,0.2862374883016043
827,0,0,0,1,29,16,4,11,431.353225395748,213.3433923145799,8.126558498997658,16.597548481595215,0.3208550810035485,0.36293636202632384,0.29968844686803364,0.5775266902061329,0.4312729530377729,0.35516074891614285
821,0,0,0,2,53,29,38,28,504.1721537818163,324.07668860719895,5.349152907801327,0.0,0.8441375254956749,0.5206964935695592,0.3160072375372944,0.6225295943432939,0.40391137595507126,0.631605823433867
568,0,0,0,2,59,18,10,5,429.7005559937287,299.2481911881242,11.537934335225314,19.64553587112146,0.3114986355186734,0.801899717420925,0.491920290224531,0.6387116274983539,0.5498196944288001,0.43660662580726844
